from,to,change_year
PLACE_ON003009,PLACE_ON050004,1861
PLACE_ON104016,PLACE_ON104020,1861
PLACE_ON105008_1921,PLACE_ON111006,1861
PLACE_ON039010,PLACE_ON152008,1861
PLACE_ON039010,PLACE_ON103002,1861
PLACE_ON039010,PLACE_ON035006,1861
PLACE_ON107001,PLACE_ON107006_1891,1861
PLACE_ON107003,PLACE_ON107007,1861
PLACE_ON108003_1891,PLACE_ON108010_1911,1861
PLACE_ON108004_1891,PLACE_ON108007_1911,1861
PLACE_ON109002,PLACE_ON109014,1861
PLACE_ON072011,PLACE_ON072016,1861
PLACE_ON113004,PLACE_ON113008_1911,1861
PLACE_ON117004,PLACE_ON117008_1911,1861
PLACE_ON117004,PLACE_ON117007_1911,1861
PLACE_ON015003,PLACE_ON078006,1861
PLACE_ON118017,PLACE_ON071015,1861
PLACE_ON016008,PLACE_ON119004_1891,1861
PLACE_ON016008,PLACE_ON119009_1891,1861
PLACE_ON016008,PLACE_ON079017,1861
PLACE_ON017005,PLACE_ON121005,1861
PLACE_ON017005,PLACE_ON121006,1861
PLACE_ON018008,PLACE_ON179001,1861
PLACE_ON019004,PLACE_ON082014,1861
PLACE_ON019004,PLACE_ON123004_1911,1861
PLACE_ON019001,PLACE_ON082015,1861
PLACE_ON019001,PLACE_ON123001,1861
PLACE_ON021003,PLACE_ON125007_1911,1861
PLACE_ON023012,PLACE_ON110007,1861
PLACE_ON024001,PLACE_ON088002,1861
PLACE_ON132003_1891,PLACE_ON095004,1861
PLACE_ON026007_1851,PLACE_ON133002,1861
PLACE_ON026007_1851,PLACE_ON133004,1861
PLACE_ON136003_1891,PLACE_ON136006_1911_1921,1861
PLACE_ON028004_1851,PLACE_ON136009,1861
PLACE_ON137001_1891,PLACE_ON171002,1861
PLACE_ON112007_1911,PLACE_ON093001,1861
PLACE_ON030004,PLACE_ON113007_1911,1861
PLACE_ON030004,PLACE_ON138011,1861
PLACE_ON142017,PLACE_ON142038,1861
PLACE_ON144008,PLACE_ON098004,1861
PLACE_ON152009_1861,PLACE_ON152020,1861
PLACE_ON152009_1861,PLACE_ON152022,1861
PLACE_ON132001,PLACE_ON142004,1861
PLACE_ON151005_1911,PLACE_ON142012,1861
PLACE_ON037006,PLACE_ON149001,1861
PLACE_ON037006,PLACE_ON149011,1861
PLACE_ON149010,PLACE_ON100011,1861
PLACE_ON033009,PLACE_ON114006_1861,1861
PLACE_ON033009,PLACE_ON114007,1861
PLACE_ON142021,PLACE_ON111002_1881,1861
PLACE_ON011009,PLACE_ON114012_1891,1861
PLACE_ON011009,PLACE_ON106004_1911,1861
PLACE_ON110024,PLACE_ON067005_1911,1861
PLACE_ON110024,PLACE_ON110011,1861
PLACE_ON110024,PLACE_ON071013,1861
PLACE_ON009999,PLACE_ON101007_1921,1861
PLACE_ON009999,PLACE_ON111011,1861
PLACE_ON009999,PLACE_ON111007_1871,1861
PLACE_ON009999,PLACE_ON111010,1861
PLACE_ON111008,PLACE_ON109008,1861
PLACE_ON012005,PLACE_ON074005,1861
PLACE_ON011015,PLACE_ON104002_1921,1861
PLACE_ON011015,PLACE_ON075009,1861
PLACE_ON011015,PLACE_ON177006,1861
PLACE_ON011015,PLACE_ON066999,1861
PLACE_ON115005,PLACE_ON115012_1911,1861
PLACE_ON014001,PLACE_ON117006,1861
PLACE_ON121001,PLACE_ON118027,1861
PLACE_ON017001,PLACE_ON080001,1861
PLACE_ON017001,PLACE_ON121010,1861
PLACE_ON017007,PLACE_ON085004_1881,1861
PLACE_ON017007,PLACE_ON080010,1861
PLACE_ON023006,PLACE_ON086012,1861
PLACE_ON023006,PLACE_ON086013,1861
PLACE_ON026001,PLACE_ON089011,1861
PLACE_ON026001,PLACE_ON089013,1861
PLACE_ON026001,PLACE_ON089012,1861
PLACE_ON046001,PLACE_ON111003,1861
PLACE_ON046001,PLACE_ON111001,1861
PLACE_ON046001,PLACE_ON111002_1861,1861
PLACE_ON105008,PLACE_ON134015,1861
PLACE_ON134016,PLACE_ON090008,1861
PLACE_ON134016,PLACE_ON090007,1861
PLACE_ON047001,PLACE_ON110001_1861,1861
PLACE_ON047001,PLACE_ON110003,1861
PLACE_ON047002,PLACE_ON110002_1861,1861
PLACE_ON047002,PLACE_ON110004,1861
PLACE_ON038002,PLACE_ON150008,1861
PLACE_ON038002,PLACE_ON101009,1861
PLACE_ON038002,PLACE_ON121001_1891,1861
PLACE_ON038002,PLACE_ON162004,1861
PLACE_ON038002,PLACE_ON101008,1861
PLACE_ON150004_1861,PLACE_ON101004_1861,1861
PLACE_ON043001,PLACE_ON112003,1861
PLACE_ON043001,PLACE_ON112001_1861,1861
PLACE_ON043001,PLACE_ON112006,1861
PLACE_ON043001,PLACE_ON112005,1861
PLACE_ON043001,PLACE_ON112004_1861,1861
PLACE_ON043001,PLACE_ON112002,1861
PLACE_ON138001_1911,PLACE_ON112008,1861
PLACE_ON138001_1911,PLACE_ON135004,1861
PLACE_ON035010,PLACE_ON138003,1861
PLACE_ON154003,PLACE_ON154018,1861
PLACE_NT999999,PLACE_ON138010,1861
PLACE_NT999999,PLACE_ON101002_1921,1861
PLACE_NT999999,PLACE_ON093999,1861
PLACE_NT999999,PLACE_ON072001,1861
PLACE_NT999999,PLACE_ON072010,1861
PLACE_NT999999,PLACE_ON084005,1861
PLACE_NT999999,PLACE_ON078999,1861
PLACE_NT999999,PLACE_ON072007,1861
PLACE_NT999999,PLACE_ON096999,1861
PLACE_NT999999,PLACE_ON096008,1861
PLACE_NT999999,PLACE_ON096018,1861
PLACE_NT999999,PLACE_ON082008_1861,1861
PLACE_NT999999,PLACE_ON096002,1861
PLACE_NT999999,PLACE_ON149002,1861
PLACE_NT999999,PLACE_ON149008,1861
PLACE_NT999999,PLACE_ON098999,1861
PLACE_NT999999,PLACE_ON098011,1861
PLACE_NT999999,PLACE_ON135035,1861
PLACE_NT999999,PLACE_ON096014,1861
PLACE_NT999999,PLACE_ON096016,1861
PLACE_NT999999,PLACE_ON149003,1861
PLACE_NT999999,PLACE_ON149004,1861
PLACE_NT999999,PLACE_ON100012,1861
PLACE_NT999999,PLACE_ON100013,1861
PLACE_NT999999,PLACE_ON119013,1861
PLACE_NT999999,PLACE_ON116001_1921,1861
PLACE_NT999999,PLACE_ON116011,1861
PLACE_NT999999,PLACE_ON093009,1861
PLACE_NT999999,PLACE_ON100999,1861
PLACE_NT999999,PLACE_ON106001,1861
PLACE_NT999999,PLACE_ON106002,1861
PLACE_QC080999,PLACE_QC037009,1861
PLACE_QC080999,PLACE_QC002003,1861
PLACE_QC080999,PLACE_QC002999,1861
PLACE_QC080999,PLACE_QC055001,1861
PLACE_QC080999,PLACE_QC037001,1861
PLACE_QC078009,PLACE_QC143003,1861
PLACE_QC078011,PLACE_QC138011,1861
PLACE_QC062999,PLACE_QC139001,1861
PLACE_QC062999,PLACE_QC005005,1861
PLACE_QC062999,PLACE_QC139003_1891,1861
PLACE_QC062999,PLACE_QC048016_1881,1861
PLACE_QC048010,PLACE_QC006002,1861
PLACE_QC048010,PLACE_QC145006,1861
PLACE_QC017001,PLACE_QC045009,1861
PLACE_QC049999,PLACE_QC007999,1861
PLACE_QC049004,PLACE_QC141009,1861
PLACE_QC075007,PLACE_QC033002,1861
PLACE_QC075007,PLACE_QC144004,1861
PLACE_QC052004,PLACE_QC046011,1861
PLACE_QC052002,PLACE_QC046006_1881,1861
PLACE_QC052002,PLACE_QC011005,1861
PLACE_QC082004,PLACE_QC098009_1921,1861
PLACE_QC047030,PLACE_QC151001,1861
PLACE_QC053003,PLACE_QC047034,1861
PLACE_QC047015,PLACE_QC133001,1861
PLACE_QC048016,PLACE_QC112007,1861
PLACE_QC074022,PLACE_QC015005,1861
PLACE_QC080008,PLACE_QC056009,1861
PLACE_QC080008,PLACE_QC056007,1861
PLACE_QC080003,PLACE_QC056012,1861
PLACE_QC080003,PLACE_QC056013,1861
PLACE_QC049012,PLACE_QC017011,1861
PLACE_QC049012,PLACE_QC160004,1861
PLACE_QC054010,PLACE_QC159004,1861
PLACE_QC055006,PLACE_QC003007,1861
PLACE_QC056999,PLACE_QC019999,1861
PLACE_QC056999,PLACE_QC154018,1861
PLACE_QC048012,PLACE_QC021003,1861
PLACE_QC065006,PLACE_QC162026,1861
PLACE_QC025005,PLACE_QC087010,1861
PLACE_QC050008,PLACE_QC025004,1861
PLACE_QC050008,PLACE_QC025003,1861
PLACE_QC060008,PLACE_QC025009,1861
PLACE_QC025010,PLACE_QC060011,1861
PLACE_QC061002_1911,PLACE_QC061013,1861
PLACE_QC061002_1911,PLACE_QC159002_1861,1861
PLACE_QC058005,PLACE_QC164017,1861
