presence_id,tcpuid,year,area_sqm,centroid_lat,centroid_lon,pop_total,pop_total_m,pop_total_f,pop_per_sq_mi,cd_name
ON002001_1851,ON002001,1851,283139409.27,43.129913,-80.269331,6410,3393,3017,,
ON002003_1851,ON002003,1851,293840443.06,43.081704,-80.489497,4433,2357,2076,,
ON002005_1851,ON002005,1851,48438869.1,43.04477,-80.337974,840,443,397,,
ON002002_1851,ON002002,1851,6529295.12,43.144615,-80.261691,3877,1974,1903,,
ON020005_1851,ON020005,1851,369857063.14,44.655878,-75.787674,5208,2620,2588,,
ON003001_1851,ON003001,1851,246768351.76,44.462853,-81.21291,149,76,73,,
ON003003_1851,ON003003,1851,301384094.6,44.304558,-81.453814,100,60,40,,
ON003009_1851,ON003009,1851,266899945.39,44.186852,-81.526182,1149,644,505,,
ON003011_1851,ON003011,1851,183204840.66,44.410009,-81.371025,277,162,115,,
ON003002_1851,ON003002,1851,311562128.68,44.191911,-81.144774,621,353,268,,
ON003004_1851,ON003004,1851,261388218.5,44.041549,-81.104964,,,,,
ON003005_1851,ON003005,1851,249202481.65,44.012701,-81.29601,,,,,
ON003006_1851,ON003006,1851,242203671.06,44.33704,-81.184145,14,7,7,,
ON003007_1851,ON003007,1851,285251885.09,44.169222,-81.323658,244,141,103,,
ON003008_1851,ON003008,1851,256747075.13,44.072036,-81.617247,236,135,101,,
ON003010_1851,ON003010,1851,205846341.34,44.010591,-81.45168,47,27,20,,
ON004001_1851,ON004001,1851,269923915.73,45.402992,-76.206737,2807,1577,1230,,
ON004003_1851,ON004003,1851,291866579.85,45.191396,-75.928094,2525,1302,1223,,
ON004005_1851,ON004005,1851,269530544.33,45.294396,-76.065788,2519,1285,1234,,
ON004006_1851,ON004006,1851,124383085.43,45.375128,-75.962148,1125,578,547,,
ON004007_1851,ON004007,1851,275185755.84,45.066282,-75.807426,2053,1084,969,,
ON004008_1851,ON004008,1851,282571982.09,45.302979,-75.777801,3800,1966,1834,,
ON004011_1851,ON004011,1851,115830468.94,45.463013,-76.079574,542,309,233,,
ON004010_1851,ON004010,1851,1720891.79,45.188835,-75.834586,434,212,222,,
ON039011_1851,ON039011,1851,275452950.64,43.980012,-80.233417,500,269,231,,
ON039006_1851,ON039006,1851,390572711.83,43.812218,-80.31425,2083,1092,991,,
ON039010_1851,ON039010,1851,997758936.49,43.92222,-80.634556,1803,934,869,,
ON035016_1851,ON035016,1851,299929909.57,44.017141,-80.06176,2689,1481,1208,,
ON035015_1851,ON035015,1851,300695831.7,44.189377,-80.102496,766,403,363,,
ON005001_1851,ON005001,1851,277089153.23,44.915816,-75.347876,4198,2153,2045,,
ON005002_1851,ON005002,1851,260569643.04,45.053627,-75.457713,2764,1428,1336,,
ON005003_1851,ON005003,1851,263152491.7,44.985751,-75.187576,4284,2157,2127,,
ON005004_1851,ON005004,1851,261612198.61,45.119747,-75.291728,2565,1401,1164,,
ON006001_1851,ON006001,1851,295228955.07,44.161109,-78.824244,1756,953,803,,
ON006002_1851,ON006002,1851,279904683.53,44.185757,-78.46651,4438,2323,2115,,
ON006003_1851,ON006003,1851,319451063.84,43.989554,-78.563196,6190,3214,2976,,
ON006004_1851,ON006004,1851,321482142.44,43.968889,-78.746029,8005,4238,3767,,
ON006005_1851,ON006005,1851,284026611.63,44.016928,-78.391851,5299,2840,2459,,
ON006006_1851,ON006006,1851,313462855.7,44.164784,-78.643667,2568,1321,1247,,
ON007002_1851,ON007002,1851,260463692.91,42.736246,-80.788176,5092,2770,2322,,
ON007005_1851,ON007005,1851,284436713.02,42.743036,-80.944292,4050,2117,1933,,
ON007007_1851,ON007007,1851,314198332.48,42.756833,-81.123993,5288,2779,2509,,
ON007001_1851,ON007001,1851,343227130.27,42.586048,-81.669369,1226,660,566,,
ON007003_1851,ON007003,1851,313307447.99,42.669322,-81.492992,1948,1009,939,,
ON007006_1851,ON007006,1851,329864913.48,42.745642,-81.314588,5063,2594,2469,,
ON008009_1851,ON008009,1851,150012390.73,42.236423,-82.656082,788,431,357,,
ON008002_1851,ON008002,1851,107103615.72,42.146819,-83.04131,1199,644,555,,
ON008004_1851,ON008004,1851,265226072.94,42.097772,-82.734633,1802,945,857,,
ON008006_1851,ON008006,1851,92101860.4,42.070946,-83.042438,1315,683,632,,
ON008007_1851,ON008007,1851,286724272.05,42.082358,-82.548921,1193,628,565,,
ON009005_1851,ON009005,1851,393911342.38,44.619904,-76.536913,1118,639,479,,
ON009006_1851,ON009006,1851,257369494.93,44.459826,-76.539609,2003,1056,947,,
ON009008_1851,ON009008,1851,263995750.73,44.327925,-76.324833,3258,1741,1517,,
ON009007_1851,ON009007,1851,238629514.29,44.448743,-76.703055,2388,1318,1070,,
ON009002_1851,ON009002,1851,305416898.86,44.436868,-76.395056,2130,1114,1016,,
ON010004_1851,ON010004,1851,348894958.93,45.306146,-74.76325,3842,1953,1889,,
ON010001_1851,ON010001,1851,258951454.84,45.237988,-74.486184,4023,2076,1947,,
ON010003_1851,ON010003,1851,321505551.43,45.39766,-74.595381,4174,2116,2058,,
ON012002_1851,ON012002,1851,326005117.87,44.838972,-75.502398,4779,2554,2225,,
ON012004_1851,ON012004,1851,276004537.37,44.953015,-75.676705,4496,2326,2170,,
ON011001_1851,ON011001,1851,306738608.78,44.271151,-80.542486,733,408,325,,
ON011003_1851,ON011003,1851,299622310.53,44.473591,-80.396185,545,302,243,,
ON011006_1851,ON011006,1851,319239794.57,44.434129,-80.583164,603,313,290,,
ON011008_1851,ON011008,1851,304040663.07,44.40506,-80.7821,954,561,393,,
ON011011_1851,ON011011,1851,309787090.07,44.313365,-80.34603,486,258,228,,
ON011014_1851,ON011014,1851,341558739.32,44.578036,-80.81455,2432,,,,
ON011012_1851,ON011012,1851,288855351.88,44.603185,-80.64719,1601,731,870,,
ON011005_1851,ON011005,1851,326242445.66,44.07307,-80.694815,665,353,312,,
ON011007_1851,ON011007,1851,297504451.32,44.242235,-80.73776,1250,703,547,,
ON011010_1851,ON011010,1851,293511363.59,44.06292,-80.895886,539,285,254,,
ON013004_1851,ON013004,1851,74699198.94,42.879754,-79.648462,828,442,386,,
