chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,decision,notes
PLACE_AB001006,Calgary c,AB,Q36312,Calgary,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB002006,Edmonton c,AB,Q2096,Edmonton,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB002007,St. Albert t-v,AB,Q939127,St. Albert,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB002008,Stony Plain t-v,AB,Q1744021,Stony Plain,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB003004,Claresholm t-v,AB,Q1746566,Claresholm,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB003005,High River t-v,AB,Q1743705,High River,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB003006,Macleod t-v,AB,Q2128700,Fort Macleod,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB003007,Nanton t-v,AB,Q1744143,Nanton,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB003008,Okotoks t-v,AB,Q1363726,Okotoks,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB003009,Pincher Creek t-v,AB,Q1744046,Pincher Creek,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB004003,Lethbridge c,AB,Q270887,Lethbridge,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB004004_1911,Medicine Hat c,AB,Q368241,Medicine Hat,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB004005,Cardston t-v,AB,Q1743545,Cardston,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB004006,Magrath t-v,AB,Q608478,Magrath,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB004007,Raymond t-v,AB,Q1001461,Raymond,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB004008,Taber t-v,AB,Q1746037,Taber,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005004,Didsbury t-v,AB,Q1743949,Didsbury,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005005,Innisfail t-v,AB,Q1009832,Innisfail,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005006,Lacombe t-v,AB,Q1743833,Lacombe,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005007,Olds t-v,AB,Q991692,Olds,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005008,Ponoka t-v,AB,Q1744063,Ponoka,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005009,Red Deer t-v,AB,Q23025,Red Deer,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB005010,Stettler t-v,AB,Q1746019,Stettler,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB006005,Wetaskiwin c,AB,Q950050,Wetaskiwin,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB006006,Camrose t-v,AB,Q775610,Camrose,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB006007,Daysland t-v,AB,Q1004125,Daysland,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB006008,Leduc t-v,AB,Q1207513,Leduc,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB006009,Tofield t-v,AB,Q2146186,Tofield,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB006010,Wainwright t-v,AB,Q835304,Wainwright,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB007004,Fort Saskatchewan t-v,AB,Q1007407,Fort Saskatchewan,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB007005,Vegreville t-v,AB,Q1276220,Vegreville,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_AB007006,Vermilion t-v,AB,Q3845986,Vermilion,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_BC002001_1901,Chilliwak,BC,Q983026,Chilliwack,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_BC004004,"Victoria, City—Cité",BC,Q2132,Victoria,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_BC008007_1911,Prince Rupert c,BC,Q1015639,Prince Rupert,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_BC011006,Chilliwack c,BC,Q983026,Chilliwack,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_BC014009,Enderby c,BC,Q112975,Enderby,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_BC014013,Kelowna c,BC,Q232226,Kelowna,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_BC014016,Vernon c,BC,Q985671,Vernon,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB007022,Portage la Prairie,MB,Q1661004,Portage la Prairie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB007023,"Portage la Prairie, Town—Ville",MB,Q1017624,Portage la Prairie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB007027,Rossburn,MB,Q1661166,Rossburn,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB008009_1891,Morris,MB,Q1660794,Morris,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB008010,"Morris, Town—Ville",MB,Q2450865,Morris,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB008011,Portage la Prairie,MB,Q1661004,Portage la Prairie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB008012_1901,"Portage la Prairie, Town—Ville",MB,Q1017624,Portage la Prairie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB009003_1891,Birtle,MB,Q1658106,Birtle,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB009004_1891,"Birtle, Town—Ville",MB,Q86586,Birtle,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB009010_1901,Dauphin,MB,Q1658912,Dauphin,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB009011_1901,"Dauphin, Town—Ville",MB,Q1173008,Dauphin,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB009013_1901,Grandview,MB,Q18345798,Grandview,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB009021_1901,Rossburn,MB,Q1661166,Rossburn,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_MB010007,Morris,MB,Q1660794,Morris,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
