chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,fail_reason
PLACE_MB016005,Swan River t-v,MB,Q487931,Swan River,S4_TIER_ROOT_PROVINCE,low,FAR: 210 km from chain centroid
PLACE_ON054062,Chelmsford t-v,ON,Q22486283,Chelmsford,S4_TIER_ROOT_PROVINCE,low,FAR: 134 km from chain centroid
PLACE_ON099094,Copper Cliff t-v,ON,Q115178132,Copper Cliff,S4_TIER_ROOT_PROVINCE,low,FAR: 201 km from chain centroid
PLACE_ON099102,Sudbury t-v,ON,Q383434,Greater Sudbury,S3_AMBIGUOUS_NAMED,medium,FAR: 230 km from chain centroid
PLACE_QC015018,St. Jean,QC,Q3462540,Saint-Jean-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,FAR: 153 km from chain centroid
PLACE_QC023005,St. Jean,QC,Q3462540,Saint-Jean-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,FAR: 58 km from chain centroid
PLACE_QC028002,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,FAR: 246 km from chain centroid
PLACE_QC038014,St. Laurent,QC,Q3462701,Saint-Laurent-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,FAR: 326 km from chain centroid
PLACE_QC040015,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,FAR: 323 km from chain centroid
PLACE_QC060005_1851,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,FAR: 180 km from chain centroid
PLACE_QC061003_1881,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,FAR: 179 km from chain centroid
PLACE_QC065003_1851,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,FAR: 219 km from chain centroid
PLACE_QC065005_1851,St. Laurent,QC,Q3462701,Saint-Laurent-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,FAR: 256 km from chain centroid
PLACE_QC065012_1851,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,FAR: 265 km from chain centroid
PLACE_QC068004_1871,St. Jean,QC,Q3462540,Saint-Jean-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,FAR: 259 km from chain centroid
PLACE_QC070003,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,FAR: 274 km from chain centroid
PLACE_QC076012,St. Jean,QC,Q3462540,Saint-Jean-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,FAR: 152 km from chain centroid
PLACE_QC076013_1881,St. Alexis,QC,Q3461722,Saint-Alexis,S4_TIER_ROOT_PROVINCE,low,FAR: 343 km from chain centroid
PLACE_QC076022_1881,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,FAR: 256 km from chain centroid
PLACE_QC076024,St. Jérôme,QC,Q112912399,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,FAR: 335 km from chain centroid
PLACE_QC078011_1871,St. Tite,QC,Q112912839,Saint-Tite,S4_TIER_ROOT_PROVINCE,low,FAR: 147 km from chain centroid
PLACE_QC079010_1851,St. François de Sales,QC,Q112912171,Saint-François-de-Sales,S4_TIER_ROOT_PROVINCE,low,FAR: 315 km from chain centroid
PLACE_QC079013_1851,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,FAR: 246 km from chain centroid
PLACE_QC081008,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,FAR: 271 km from chain centroid
