tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,relationship,iou,frac_from,frac_to,name_similarity
ON182999,NO DATA,Algoma,ON,ON110010,"Harcourt, Dudley, Dysart, Guilford, Harburn, Bruton, Clyde, Eyre, Havelock, Livingstone, Lawrence & Nightingale","Peterborough, East—Est",ON,OVERLAPS,0.0038,0.0038,0.5431,12.59
ON182999,NO DATA,Algoma,ON,ON096005,"Bonfield, Chisholm, Boulter & Ferris",Nipissing,ON,OVERLAPS,0.0025,0.0025,0.8929,17.02
ON182999,NO DATA,Algoma,ON,ON096012,Unorganized Territory,Nipissing,ON,OVERLAPS,0.1875,0.1914,0.9007,24.0
ON182999,NO DATA,Algoma,ON,ON046016,Port Findlay,Algoma,ON,OVERLAPS,0.0003,0.0003,0.6109,59.47
ON182999,NO DATA,Algoma,ON,ON046017,Root River & Korah,Algoma,ON,OVERLAPS,0.0005,0.0005,0.5834,46.8
ON182999,NO DATA,Algoma,ON,ON046021,Spanish River,Algoma,ON,OVERLAPS,0.0047,0.0048,0.6835,44.0
ON182999,NO DATA,Algoma,ON,ON046006,Goulais Bay,Algoma,ON,OVERLAPS,0.0016,0.0016,0.8822,53.33
ON182999,NO DATA,Algoma,ON,ON046035,Nipigon & Pays Plat,Algoma,ON,OVERLAPS,0.0016,0.0016,0.5429,56.92
ON182999,NO DATA,Algoma,ON,ON046064,Unorganized Territory,Algoma,ON,OVERLAPS,0.568,0.7541,0.6972,50.0
ON182001,"Howland, Strawberry, Lacloche, Haywood Island",Algoma,ON,ON046010,Killarney,Algoma,ON,OVERLAPS,0.3008,0.5877,0.3812,42.96
ON182016,Thessalon,Algoma,ON,ON046024,Thessalon (Western Division),Algoma,ON,SAME_AS,1.0,1.0,1.0,64.05
ON160003,Dumfries S,"Brant, North—Nord",ON,ON049004,"Paris, Town—Ville","Brant, South—Sud",ON,OVERLAPS,0.0083,0.0084,0.6637,42.56
ON159005,Tuscarora,"Brant, South—Sud",ON,ON049003,Onondaga,"Brant, South—Sud",ON,OVERLAPS,0.5655,0.8822,0.6117,46.47
ON159001,"Brantford, Town—Ville","Brant, South—Sud",ON,ON049001,Brantford W-O,"Brant, South—Sud",ON,OVERLAPS,0.0456,0.7489,0.0463,75.29
ON177005,Amabel,"Bruce, North—Nord",ON,ON052002,Amabel & Saugeen,"Bruce, North—Nord",ON,SAME_AS,0.9922,1.0,0.9922,68.18
ON177003,Saugeen,"Bruce, North—Nord",ON,ON053007,Saugeen,"Bruce, West—Ouest",ON,OVERLAPS,0.9543,1.0,0.9543,87.65
ON177004,"Southampton, Village","Bruce, North—Nord",ON,ON053007,Saugeen,"Bruce, West—Ouest",ON,OVERLAPS,0.0444,0.5976,0.0457,38.39
ON108009,Fitzroy,Carleton,ON,ON083004,Fitzroy,"Lanark, North—Nord",ON,SAME_AS,1.0,1.0,1.0,79.23
ON108002,Gower N,Carleton,ON,ON055005,North Gower,Carleton,ON,SAME_AS,1.0,1.0,1.0,68.89
ON108007,Huntley,Carleton,ON,ON083005,Huntley,"Lanark, North—Nord",ON,SAME_AS,1.0,1.0,1.0,79.23
ON155005,Melancthon,"Grey, East—Est",ON,ON067009,"Shelburne, Village","Grey, East—Est",ON,OVERLAPS,0.0052,0.0052,0.6667,45.0
