tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,relationship,iou,frac_from,frac_to,name_similarity
ON182003,Assiginack,Algoma,ON,ON046045,Assiginack,Algoma,ON,SAME_AS,1.0,1.0,1.0,100.0
ON182010,"Burpee, Robinson, Barrie Island",Algoma,ON,ON046049,Burpee,Algoma,ON,CONTAINS,0.2688,0.2688,1.0,52.7
ON182010,"Burpee, Robinson, Barrie Island",Algoma,ON,ON046059,Robinson,Algoma,ON,CONTAINS,0.5672,0.5672,1.0,58.72
ON182010,"Burpee, Robinson, Barrie Island",Algoma,ON,ON046046,Barrie Island,Algoma,ON,CONTAINS,0.164,0.164,1.0,71.36
ON182007,"Billings, Campbell",Algoma,ON,ON046050,Campbell,Algoma,ON,CONTAINS,0.4795,0.4795,1.0,73.08
ON182007,"Billings, Campbell",Algoma,ON,ON046048,Billings,Algoma,ON,CONTAINS,0.5205,0.5205,1.0,73.08
ON182006,Carnavon,Algoma,ON,ON046051,Carnarvon,Algoma,ON,SAME_AS,1.0,1.0,1.0,95.88
ON182999,NO DATA,Algoma,ON,ON046054,Duck Islands,Algoma,ON,CONTAINS,0.0,0.0,1.0,44.74
ON182999,NO DATA,Algoma,ON,ON096011,Finlayson & Peck,Nipissing,ON,CONTAINS,0.0013,0.0013,1.0,22.26
ON182999,NO DATA,Algoma,ON,ON096004,"Calvin, Lauder, Ballantyne, Wilkes, Pentland, Paxton, Biggar, Osler, Lyster & Boyd",Nipissing,ON,CONTAINS,0.0063,0.0063,1.0,13.44
ON182999,NO DATA,Algoma,ON,ON096003,Papineau & Mattawa,Nipissing,ON,CONTAINS,0.0013,0.0013,1.0,32.0
ON182999,NO DATA,Algoma,ON,ON096006,"North Bay (Town—Ville), Widdifield, Phelps & Olrig",Nipissing,ON,CONTAINS,0.002,0.002,1.0,16.28
ON182999,NO DATA,Algoma,ON,ON096002,"Mattawa, Village",Nipissing,ON,CONTAINS,0.0,0.0,1.0,22.26
ON182999,NO DATA,Algoma,ON,ON096001,"Cameron, Deacon & Fitzgerald",Nipissing,ON,CONTAINS,0.0026,0.0026,0.9997,28.0
ON182999,NO DATA,Algoma,ON,ON096009,"Appleby, Hagar, Awrey, Hawley, Dryden, Dill & Nelson",Nipissing,ON,CONTAINS,0.0024,0.0024,1.0,11.12
ON182999,NO DATA,Algoma,ON,ON096008,"Kirkpatrick, Hugel, Ratter & Dunnett",Nipissing,ON,CONTAINS,0.0011,0.0011,1.0,13.77
ON182999,NO DATA,Algoma,ON,ON096007,"Nipissing, Indian Reserve, Springer, Field, Badgerow & Caldwell",Nipissing,ON,CONTAINS,0.0043,0.0043,1.0,14.0
ON182999,NO DATA,Algoma,ON,ON046001,Algoma Mills,Nipissing,ON,CONTAINS,0.0,0.0,1.0,18.74
ON182999,NO DATA,Algoma,ON,ON046003,Day,Algoma,ON,CONTAINS,0.0002,0.0002,1.0,58.0
ON182999,NO DATA,Algoma,ON,ON046011,Kirkwood,Algoma,ON,CONTAINS,0.0002,0.0002,1.0,48.67
ON182999,NO DATA,Algoma,ON,ON046007,Grande Pointe,Algoma,ON,CONTAINS,0.0004,0.0004,0.9988,51.0
ON182999,NO DATA,Algoma,ON,ON046008,Hallam & Graham,Nipissing,ON,CONTAINS,0.0025,0.0025,1.0,23.09
ON182999,NO DATA,Algoma,ON,ON046004,Echo River,Algoma,ON,CONTAINS,0.0009,0.0009,1.0,46.47
ON182999,NO DATA,Algoma,ON,ON046027,Chelmsford & Cartier,Algoma,ON,CONTAINS,0.0035,0.0035,1.0,50.74
ON182999,NO DATA,Algoma,ON,ON096010,"Blezard, McKim (including Sudbury & Broder)",Nipissing,ON,CONTAINS,0.0009,0.0009,1.0,12.4
ON182999,NO DATA,Algoma,ON,ON046012,Mamainse,Algoma,ON,CONTAINS,0.0011,0.0011,1.0,48.67
ON182999,NO DATA,Algoma,ON,ON046036,Norman,Algoma,ON,CONTAINS,0.0009,0.0009,1.0,62.31
ON182999,NO DATA,Algoma,ON,ON046025,Beaver & Silver Mountain,Algoma,ON,CONTAINS,0.0039,0.0039,1.0,43.55
ON182999,NO DATA,Algoma,ON,ON046034,Neebing N,Algoma,ON,CONTAINS,0.0001,0.0001,1.0,47.5
ON182999,NO DATA,Algoma,ON,ON046026,"Biscotasing, Chapleau, Missanabi, White River, Peninsula & Schreiber",Algoma,ON,CONTAINS,0.0017,0.0017,1.0,39.33
ON182999,NO DATA,Algoma,ON,ON046033,Neebing Centre & S,Algoma,ON,CONTAINS,0.0001,0.0001,1.0,46.8
ON182999,NO DATA,Algoma,ON,ON046032,Murillo,Algoma,ON,CONTAINS,0.0005,0.0005,1.0,40.0
ON182011,"Dawson, Cockburn Island",Algoma,ON,ON046052,Cockburn Island,Algoma,ON,CONTAINS,0.4948,0.4948,1.0,85.26
